,code,name,current,price,diff,per_diff,time
0,III,3I GRP.,GBX,948.00,+2.40,+0.25,2018-02-27 22:49:00
1,ABF,A.B.FOOD,GBX,2661.00,-65.00,-2.38,2018-02-27 22:49:00
2,ADM,ADMIRAL GRP,GBX,1931.00,-3.00,-0.16,2018-02-27 22:49:00
3,AAL,ANGLO AMERICAN,GBX,1842.00,-1.60,-0.09,2018-02-27 22:49:00
4,ANTO,ANTOFAGASTA,GBX,905.80,-6.20,-0.68,2018-02-27 22:49:00
5,AHT,ASHTEAD GRP.,GBX,2108.00,+38.00,+1.84,2018-02-27 22:49:00
6,AZN,ASTRAZENECA,GBX,4795.00,-18.50,-0.38,2018-02-27 22:49:00
7,AV.,AVIVA,GBX,506.00,+4.00,+0.80,2018-02-27 22:49:00
8,BA.,BAE SYS.,GBX,572.60,-5.00,-0.87,2018-02-27 22:49:00
9,BARC,BARCLAYS,GBX,212.00,+3.50,+1.68,2018-02-27 22:49:00
10,BDEV,BARRATT DEVEL.,GBX,548.00,-3.20,-0.58,2018-02-27 22:49:00
11,BKG,BERKELEY GP.HLD,GBX,3892.00,+30.00,+0.78,2018-02-27 22:49:00
12,BLT,BHP BILLITON,GBX,1525.00,-17.40,-1.13,2018-02-27 22:49:00
13,BP.,BP,GBX,478.20,-2.65,-0.55,2018-02-27 22:49:00
14,BATS,BR.AMER.TOB.,GBX,4397.50,-67.00,-1.50,2018-02-27 22:49:00
15,BLND,BR.LAND,GBX,637.20,-13.00,-2.00,2018-02-27 22:49:00
16,BT.A,BT GROUP,GBX,243.25,+0.45,+0.19,2018-02-27 22:49:00
17,BNZL,BUNZL,GBX,1969.50,-5.50,-0.28,2018-02-27 22:49:00
18,BRBY,BURBERRY GRP,GBX,1538.00,-8.50,-0.55,2018-02-27 22:49:00
19,CCL,CARNIVAL,GBX,4821.00,-8.00,-0.17,2018-02-27 22:49:00
20,CNA,CENTRICA,GBX,141.80,-2.10,-1.46,2018-02-27 22:49:00
21,CCH,COCACOLA HBC AG,GBX,2442.00,-30.00,-1.21,2018-02-27 22:49:00
22,CPG,COMPASS GROUP,GBX,1550.00,-2.50,-0.16,2018-02-27 22:49:00
23,CRH,CRH,GBX,2436.00,-37.00,-1.50,2018-02-27 22:49:00
24,CRDA,CRODA INTL.,GBX,4550.00,+2.00,+0.04,2018-02-27 22:49:00
25,DCC,DCC,GBX,6735.00,-80.00,-1.17,2018-02-27 22:49:00
26,DGE,DIAGEO,GBX,2479.00,-8.00,-0.32,2018-02-27 22:49:00
27,DLG,DIRECT LINE,GBX,387.90,-0.70,-0.18,2018-02-27 22:49:00
28,EZJ,EASYJET,GBX,1679.00,+14.50,+0.87,2018-02-27 22:49:00
29,EVR,EVRAZ,GBX,438.00,+12.10,+2.84,2018-02-27 22:49:00
30,EXPN,EXPERIAN,GBX,1557.50,-17.50,-1.11,2018-02-27 22:49:00
31,FERG,FERGUSON,GBX,5186.00,-32.00,-0.61,2018-02-27 22:49:00
32,FRES,FRESNILLO,GBX,1273.00,-59.00,-4.43,2018-02-27 22:49:00
33,GFS,G4S,GBX,265.60,+2.70,+1.03,2018-02-27 22:49:00
34,GKN,GKN,GBX,430.70,+0.70,+0.16,2018-02-27 22:49:00
35,GSK,GLAXOSMITHKLINE,GBX,1303.80,+2.80,+0.22,2018-02-27 22:49:00
36,GLEN,GLENCORE,GBX,396.50,-4.90,-1.22,2018-02-27 22:49:00
37,HLMA,HALMA,GBX,1213.00,-15.00,-1.22,2018-02-27 22:49:00
38,HMSO,HAMMERSON,GBX,455.70,-10.10,-2.17,2018-02-27 22:49:00
39,HL.,HARGREAVES LANS,GBX,1725.50,-8.50,-0.49,2018-02-27 22:49:00
40,HSBA,HSBC HLDGS.UK,GBX,719.20,-2.20,-0.30,2018-02-27 22:49:00
41,IMB,IMP.BRANDS,GBX,2606.00,-28.50,-1.08,2018-02-27 22:49:00
42,INF,INFORMA,GBX,686.00,-0.80,-0.12,2018-02-27 22:49:00
43,IHG,INTERCON. HOTEL,GBX,4699.00,+54.00,+1.16,2018-02-27 22:49:00
44,ITRK,INTERTEK GROUP,GBX,4925.00,+15.00,+0.31,2018-02-27 22:49:00
45,IAG,INTL CONSOL AIR,GBX,603.40,+0.60,+0.10,2018-02-27 22:49:00
46,ITV,ITV,GBX,173.20,+1.75,+1.02,2018-02-27 22:49:00
47,JMAT,JOHNSON MATTHEY,GBX,3155.00,+3.00,+0.10,2018-02-27 22:49:00
48,JE.,JUST EAT,GBX,875.00,+2.40,+0.28,2018-02-27 22:49:00
49,KGF,KINGFISHER,GBX,362.50,+2.20,+0.61,2018-02-27 22:49:00
50,LAND,LAND SECS.,GBX,927.50,-15.70,-1.66,2018-02-27 22:49:00
51,LGEN,LEGAL&GEN.,GBX,263.40,+1.10,+0.42,2018-02-27 22:49:00
52,LLOY,LLOYDS GRP.,GBX,69.03,+0.48,+0.70,2018-02-27 22:49:00
53,LSE,LON.STK.EXCH,GBX,4054.00,-30.00,-0.73,2018-02-27 22:49:00
54,MKS,MARKS & SP.,GBX,300.00,-0.30,-0.10,2018-02-27 22:49:00
55,MDC,MEDICLINIC,GBX,607.20,+7.20,+1.20,2018-02-27 22:49:00
56,MCRO,MICRO FOCUS,GBX,2060.00,-2.00,-0.10,2018-02-27 22:49:00
57,MNDI,MONDI,GBX,1893.50,+8.00,+0.42,2018-02-27 22:49:00
58,MRW,MORRISON (WM),GBX,224.90,+0.10,+0.04,2018-02-27 22:49:00
59,NG.,NATIONAL GRID,GBX,756.50,-9.20,-1.20,2018-02-27 22:49:00
60,NXT,NEXT,GBX,4912.00,-18.00,-0.37,2018-02-27 22:49:00
61,NMC,NMC HEALTH,GBX,3516.00,-8.00,-0.23,2018-02-27 22:49:00
62,OML,OLD MUTUAL,GBX,257.80,+3.00,+1.18,2018-02-27 22:49:00
63,PPB,PADDY PWR BET,GBX,8585.00,+85.00,+1.00,2018-02-27 22:49:00
64,PSON,PEARSON,GBX,727.00,+13.00,+1.82,2018-02-27 22:49:00
65,PSN,PERSIMMON,GBX,2604.00,+116.00,+4.66,2018-02-27 22:49:00
66,PRU,PRUDENTIAL,GBX,1841.00,+2.00,+0.11,2018-02-27 22:49:00
67,RRS,RANDGOLD RES.,GBX,5948.00,-142.00,-2.33,2018-02-27 22:49:00
68,RDSA,RDS 'A',GBX,2302.50,+24.00,+1.05,2018-02-27 22:49:00
69,RDSB,RDS 'B',GBX,2316.50,+2.50,+0.11,2018-02-27 22:49:00
70,RB.,RECKITT BEN. GP,GBX,5841.00,-139.00,-2.32,2018-02-27 22:49:00
71,REL,RELX,GBX,1491.00,-11.00,-0.73,2018-02-27 22:49:00
72,RTO,RENTOKIL INITL.,GBX,292.10,+0.10,+0.03,2018-02-27 22:49:00
73,RIO,RIO TINTO,GBX,4047.50,-16.50,-0.41,2018-02-27 22:49:00
74,RR.,ROLLS-ROYCE HLG,GBX,852.40,+2.60,+0.31,2018-02-27 22:49:00
75,RBS,ROYAL BANK SCOT,GBX,270.40,+2.30,+0.86,2018-02-27 22:49:00
76,RSA,RSA INS.,GBX,633.60,-5.20,-0.81,2018-02-27 22:49:00
77,SGE,SAGE GRP.,GBX,692.20,-3.40,-0.49,2018-02-27 22:49:00
78,SBRY,SAINSBURY(J),GBX,257.70,+0.90,+0.35,2018-02-27 22:49:00
79,SDR,SCHRODERS,GBX,3471.00,+21.00,+0.61,2018-02-27 22:49:00
80,SMT,SCOTTISH MORT,GBX,467.00,+0.40,+0.09,2018-02-27 22:49:00
81,SGRO,SEGRO,GBX,575.20,-10.80,-1.84,2018-02-27 22:49:00
82,SVT,SEVERN TRENT,GBX,1757.50,-22.50,-1.26,2018-02-27 22:49:00
83,SHP,SHIRE,GBX,3054.00,+51.50,+1.72,2018-02-27 22:49:00
84,SKY,SKY PLC,GBX,1331.50,+226.50,+20.50,2018-02-27 22:49:00
85,SN.,SMITH&NEPHEW,GBX,1284.00,+7.50,+0.59,2018-02-27 22:49:00
86,SMDS,SMITH(DS),GBX,483.00,-2.20,-0.45,2018-02-27 22:49:00
87,SMIN,SMITHS GROUP,GBX,1600.00,+5.00,+0.31,2018-02-27 22:49:00
88,SKG,SMURFIT KAP.,GBX,2528.00,+22.00,+0.88,2018-02-27 22:49:00
89,SSE,SSE,GBX,1241.00,-12.50,-1.00,2018-02-27 22:49:00
90,STJ,ST.JAMES'S PLAC,GBX,1125.50,-18.50,-1.62,2018-02-27 22:49:00
91,STAN,STAND.CHART.,GBX,839.00,+10.00,+1.21,2018-02-27 22:49:00
92,SLA,STD LIFE ABER,GBX,374.00,+3.00,+0.81,2018-02-27 22:49:00
93,TW.,TAYLOR WIMPEY,GBX,193.75,+1.55,+0.81,2018-02-27 22:49:00
94,TSCO,TESCO,GBX,207.10,+1.10,+0.53,2018-02-27 22:49:00
95,TUI,TUI AG,GBX,1553.00,+23.50,+1.54,2018-02-27 22:49:00
96,ULVR,UNILEVER,GBX,3752.00,-79.50,-2.07,2018-02-27 22:49:00
97,UU.,UTD. UTILITIES,GBX,681.60,-6.40,-0.93,2018-02-27 22:49:00
98,VOD,VODAFONE GRP.,GBX,204.80,-0.75,-0.36,2018-02-27 22:49:00
99,WTB,WHITBREAD,GBX,3928.00,+14.00,+0.36,2018-02-27 22:49:00
100,WPP,WPP,GBX,1374.00,-7.50,-0.54,2018-02-27 22:49:00
